Trial,method,g_cor_mean,g_cor_sd,Managed_Treatment,Breeding_Cycle
MD2016,FSBLUP,0.8923562420552029,0.018268632230573727,Moderate Drought,2016-17
OB2013,FSBLUP,0.6108554933449545,0.05093454300580881,Optimal Bed,2013-14
OB2014,FSBLUP,0.8086018926042805,0.04414884935745214,Optimal Bed,2014-15
OB2015,FSBLUP,0.6272281067975901,0.08264257767754685,Optimal Bed,2015-16
OB2016,FSBLUP,0.8665222332331411,0.027315759849941893,Optimal Bed,2016-17
OF2013,FSBLUP,0.5159672505468501,0.09812931835415638,Optimal Flat,2013-14
OF2014,FSBLUP,0.8161411235313616,0.051898622030837754,Optimal Flat,2014-15
OF2015,FSBLUP,0.7154788235790549,0.046528693526980046,Optimal Flat,2015-16
OF2016,FSBLUP,0.8907470810509979,0.03604652330868364,Optimal Flat,2016-17
SD2013,FSBLUP,0.8406203577576385,0.039154179678235035,Severe Drought,2013-14
SD2014,FSBLUP,0.6672719770701421,0.11049981762298969,Severe Drought,2014-15
SD2015,FSBLUP,0.9040726157246396,0.01542143809962716,Severe Drought,2015-16
SD2016,FSBLUP,0.9134931135902429,0.019306848822761843,Severe Drought,2016-17
